Datum trgovanja,Cena,Obim,Promet,Open,Min,Max
02062023,849,3078,2613785,850,845,850
01062023,853,126,107301,850,850,857
31052023,850,3001,2550385,850,847,851
30052023,850,2485,2111995,850,845,857
29052023,857,2890,2475615,855,850,870
26052023,849,6189,5251626,816,816,855
25052023,812,863,700960,819,804,820
24052023,816,50,40495,801,801,819
23052023,801,938,751758,810,800,810
22052023,819,2153,1780724,830,810,830
19052023,847,123,104157,841,841,849
18052023,849,4562,3873058,841,841,849
17052023,852,6490,5528940,850,850,855
16052023,850,2754,2340696,846,846,850
15052023,850,12472,10599880,840,840,850
12052023,840,2102,1765455,831,831,840
11052023,840,20375,17111340,830,830,840
10052023,829,15805,13106907,820,820,830
09052023,828,6308,5216615,810,810,830
08052023,820,12724,10429695,810,810,820
05052023,811,6386,5174577,805,805,815
04052023,805,455,366305,803,803,806
03052023,803,20,15955,796,796,803
28042023,796,868,690818,783,783,802
27042023,810,15339,12423470,790,790,810
26042023,800,29754,23809182,805,790,810
25042023,798,5813,4643617,809,795,809
24042023,796,39970,31818745,773,770,800
21042023,783,20845,16310435,780,771,800
20042023,773,1451,1120855,759,759,780
19042023,759,1093,829985,760,755,762
18042023,755,760,572535,750,750,755
13042023,738,1904,1404085,707,707,745
12042023,707,1058,747502,691,691,735
11042023,691,26208,18099802,735,690,740
10042023,735,5,3675,735,735,735
07042023,745,147,109932,748,745,748
06042023,748,534,399445,744,744,750
05042023,744,198,147426,750,744,750
04042023,750,115,86160,741,741,750
03042023,758,282,213698,760,750,760
31032023,760,1566,1190040,752,752,760
30032023,762,7009,5340207,762,755,763
29032023,762,530,403656,750,750,762
28032023,762,617,469810,760,760,763
27032023,763,30,22825,760,760,763
24032023,762,131,99776,761,760,770
23032023,770,742,571725,775,760,778
22032023,774,2978,2304269,765,765,776
21032023,775,700,542305,765,765,775
20032023,775,206,159422,770,770,776
17032023,776,2451,1901241,779,775,780
16032023,780,3035,2366435,759,759,780
15032023,759,55580,42228811,780,757,785
14032023,776,9706,7531460,780,770,780
13032023,775,69959,54249885,770,767,777
10032023,769,15735,12092520,770,765,770
09032023,768,1658,1272620,763,763,770
08032023,762,7864,5989104,763,760,769
07032023,763,13193,10060960,760,760,765
06032023,760,4803,3648503,759,759,760
03032023,759,28219,21423124,760,750,760
02032023,760,21091,16034474,760,760,764
01032023,760,2550,1937050,755,755,760
28022023,759,553,416503,751,751,759
27022023,751,39184,29431350,760,750,760
24022023,748,41362,30931938,743,743,755
23022023,750,4265,3198225,735,735,755
22022023,740,12468,9226357,740,735,745
21022023,734,9210,6759480,730,730,740
20022023,732,8152,5964921,725,725,740
17022023,731,45642,33343438,725,725,760
14022023,722,10387,7501855,720,720,725
13022023,720,2797,2014225,720,715,725
10022023,720,19004,13685050,712,712,725
09022023,717,7160,5130541,707,707,720
08022023,707,132119,93430780,710,706,720
07022023,707,2014,1424214,700,700,708
06022023,700,1384,969612,703,700,703
03022023,710,8460,6002641,701,701,710
02022023,702,536,375580,695,695,710
01022023,700,2187,1530541,695,695,705
31012023,695,422,293388,695,691,701
30012023,695,833,578503,691,691,700
27012023,705,4617,3253995,690,690,710
26012023,690,510,351830,683,683,690
25012023,701,11854,8311364,700,680,711
24012023,700,14178,9918322,695,690,702
23012023,690,2905,2004200,680,680,690
20012023,680,12958,8811480,680,680,688
19012023,680,1817,1235057,679,678,680
18012023,679,4854,3296977,678,678,680
17012023,678,346,234612,676,676,679
16012023,678,1598,1082908,680,676,680
13012023,679,1798,1221929,680,678,680
12012023,680,175,118830,676,676,680
11012023,675,441,297720,675,675,676
10012023,674,1656,1116800,674,674,675
09012023,674,529,356757,675,671,675
29122022,675,765975,674,674,675,
28122022,675,1126,759928,674,674,675
27122022,674,1307,880991,671,671,675
26122022,675,1491,1006119,675,671,675
23122022,674,4366,2944502,675,671,675
22122022,679,410,278170,675,675,680
21122022,676,846,571700,675,675,680
20122022,675,2017264,673,673,675,
19122022,675,5738,3872567,672,672,675
16122022,674,175,117781,672,672,675
15122022,675,9993,6743269,667,667,675
14122022,670,1567,1049697,670,669,670
13122022,674,515,346552,665,665,675
12122022,666,966,643536,665,665,670
9122022,665,831,552510,664,664,670
8122022,670,24889,16672978,655,655,675
7122022,669,4953,3313781,651,651,670
6122022,659,1311,864454,663,651,663
5122022,665,575,382075,661,661,665
2122022,667,4197283,662,662,669,
1122022,667,8139053,660,660,669,
30112022,667,15706,10470929,658,658,667
29112022,665,4137166,669,665,669,
28112022,665,4888200,656,656,665,
25112022,665,3776,2510320,655,655,665
24112022,664,5086,3376103,641,641,665
23112022,656,3340,2190945,645,645,660
22112022,650,84500,650,650,650,
21112022,650,208,135252,651,650,651
18112022,655,1144,749186,655,650,660
17112022,658,73663,656,655,658,
16112022,658,1391,914739,660,656,665
15112022,661,227,149900,658,658,668
14112022,658,1483,975245,650,650,660
10112022,650,433,281350,650,648,650
9112022,668,13810,9222376,665,656,670
8112022,660,7530,4967370,650,650,660
7112022,650,18531,12025465,640,640,650
4112022,636,9629,6121963,625,620,640
3112022,620,2546,1577359,612,612,625
2112022,612,1066,651647,610,610,615
1112022,606,108,65355,605,605,610
31102022,605,793,479712,603,603,610
28102022,603,437175,603,603,603,
27102022,603,997,601261,602,602,610
26102022,602,1033,621982,601,601,604
25102022,604,593,357950,600,600,605
24102022,602,612,368278,601,601,605
21102022,601,85,50830,596,596,603
20102022,603,733,442030,595,595,610
19102022,595,189,112506,600,594,600
18102022,600,1705,1023855,602,600,606
17102022,606,374,226611,610,601,610
14102022,611,586,357802,601,601,615
13102022,615,418,257070,615,615,615
12102022,617,317,195658,616,616,618
11102022,620,1098,680632,617,617,620
10102022,618,793,490452,620,618,620
7102022,620,108455,617,617,620,
6102022,620,186000,620,620,620,
5102022,620,932,577990,620,620,621
4102022,625,652243,625,621,626,
3102022,625,775,483902,622,622,625
3092022,622,40430,622,622,622,
2992022,622,251,156112,621,621,622
2892022,621,204,126904,625,621,625
2792022,634,2904,1841609,630,630,640
2692022,625,878,549033,625,620,630
2392022,628,37665,625,625,628,
2292022,628,39,24472,626,626,628
2192022,630,468,293488,626,626,632
2092022,628,218444,628,626,628,
1992022,628,407,255608,632,628,632
1692022,632,504,318490,634,628,635
1592022,634,1223,775235,630,630,635
1492022,630,783,493290,630,630,630
1392022,632,2474,1563664,625,623,635
1292022,627,1028,643663,626,626,629
992022,626,100,62480,623,623,626
892022,630,3914,2463936,623,623,635
792022,626,55,34338,622,622,627
692022,625,4049,2529656,627,620,627
592022,627,252,157932,626,626,635
292022,626,523,326967,622,622,635
192022,624,2101,1311528,621,621,628
3182022,628,2341,1469748,626,622,630
3082022,630,3051,1920688,622,622,630
2982022,628,975,612255,622,622,630
2682022,624,368235,624,624,625,
2582022,624,3297,2058716,625,620,630
2482022,625,739,462025,625,624,629
2382022,629,1175,738201,625,625,629
2282022,625,441,275244,620,620,630
1982022,620,249910,620,620,621,
1882022,620,239430,620,620,621,
1782022,620,368920,620,620,621,
1682022,620,20,12400,620,620,620
